KIC,source_id
2832720,2099949599962717056
2833945,2099194991394723968
2834075,2099200935629499520
2834564,2099199045844004736
2834612,2099186985575827072
2834637,2099198770966605696
2834754,2099186676338195968
2834778,2099186676338195840
2835051,2099209663003232000
2835254,2099206433187841536
2835274,2099207116082429824
2835393,2099207292181377280
2835787,2099207979376216704
2836098,2099159807023048704
2837126,2099151285808129024
2837405,2099523367413437824
2845541,2051310229214455808
2845689,2051309194119858816
2846491,2051311500524964096
2846901,2051300677207448448
2847416,2052801854175410816
2847757,2052798693079507712
2848655,2052611054550521728
2848999,2052613700250416128
2849788,2052603289249808000
2849894,2052603254890083200
2850322,2052625485641092736
2851128,2052574873745299968
2852669,2052578137920627328
2854411,2052657062239880064
2855022,2051907229671264768
2855572,2051909806651712768
2858597,2051872212797046528
2858741,2051878230051585920
2859016,2051875446912592000
2859019,2051875412552841984
2859045,2051878504929507328
2859114,2051875481272342016
2860135,2051863386644553984
2860547,2052235468252477312
2860730,2052235777490149632
2861126,2052236739562887296
2861880,2052054083196424832
2865164,2052013779222672128
2865225,2052012610991236352
2865318,2052018830106176896
2969839,2099872737234056704
2970068,2099872153118529536
2970823,2099950355882050816
2971272,2099948328657535360
2971472,2099953345179354240
2971717,2099202825415721088
2973361,2099208288613853440
2973500,2099208391693106688
2973800,2099166953848678528
2974935,2099528177776846208
2975340,2099529277288569216
2975770,2099524776162690944
2982628,2051361631384520320
2983183,2051316340949875584
2983215,2051316448327213696
2984144,2051314592901555584
2984308,2051314455462637312
2984409,2051313733908151296
2984626,2052802846308142464
2985564,2052801270059972352
2986071,2052618098297114752
2986505,2052617681678942592
2986833,2052619541406162304
2986883,2052619644485405568
2987027,2052616586468670976
2987548,2052639229536489088
2987754,2052627341067251328
2992347,2051914513935889280
2992768,2051915544728123392
2993013,2051916025764516736
2993662,2051911593358322176
2993984,2051923344389154816
2995169,2051920595610224512
2996143,2051878539289251200
2996950,2052252167085339136
2997195,2052240003737956352
2998208,2052238320110893440
2998865,2052055045269120128
3003231,2052018280348439296
3096944,2099922455775892480
3097575,2099873115191679232
3097645,2099872840313773440
3098586,2099951970789771648
3099180,2099954513410473984
3099491,2099204405963693312
3099533,2099204990079253376
3099900,2099227598787115520
3100188,2099224472050934528
3100570,2099213339495390208
3100994,2099218630895193088
3101007,2099218630895194112
3101830,2099545082768097152
3102080,2099541371916379264
3102561,2099529998843062912
3102715,2099530342440492800
3102749,2099530273721015680
3102763,2099529483447024128
3109825,2051361803183234176
3109945,2051367678698540544
3111017,2051318716070168576
3111555,2052816216546052992
3111819,2052818003252517376
3111917,2052818037612265216
3111995,2052817277398429952
3112017,2052816800661663872
3112821,2052810753347820928
3112828,2052810753347820416
3112866,2052807351733710080
3112890,2052807794117101312
3114357,2052639573133867520
3115664,2052631876552612992
3116289,2052585216026777600
3116390,2052585731422900352
3116544,2052679705307352192
3116601,2052585593983976192
3117173,2052678949393190016
3117804,2052676887808994816
3119943,2051940524258653824
3120913,2051937638040413952
3121957,2051927948594301312
3122367,2051928601429382528
3122854,2051881047550189824
3122883,2052257149247652224
3122913,2052257355406092160
3123619,2052255018943928320
3123647,2052252613761976704
3124032,2052242168401550336
3124825,2052244161266448896
3127783,2052071331785826304
3129710,2052112907067847808
3215660,2099932729337805184
3216081,2099930839552040448
3216671,2099924757878434560
3217410,2099967810629478016
3219400,2099230686864056960
3219941,2099231653236005248
3220581,2099221173515955200
3220742,2099217119066826368
3220757,2099217119066831616
3221541,2099546628956463872
3221915,2099548445725478144
3222369,2099537764145002880
3222610,2099534981005352576
3223447,2099370363500097408
3228466,2051380907197804800
3229363,2051370702355722880
3230300,2052822641817726208
3230356,2052820030477574912
3230383,2052822366939817856
